head_cam_distance,gaze_distance,face_detection_confidence,engagement
3.658417689789816336e+02,2.036356135540470120e+02,9.300000000000000488e-01,1.000000000000000000e+00
3.617977964253389018e+02,2.113764223323545934e+02,9.300000000000000488e-01,1.000000000000000000e+00
3.573070250863418664e+02,2.144552280362325973e+02,9.300000000000000488e-01,1.000000000000000000e+00
3.541348389228778046e+02,2.070787406413608949e+02,8.800000000000000044e-01,1.000000000000000000e+00
3.538276761530304952e+02,2.087937199333912588e+02,9.300000000000000488e-01,1.000000000000000000e+00
3.542700471217956419e+02,2.090066367743684737e+02,9.300000000000000488e-01,1.000000000000000000e+00
3.545267094186971235e+02,2.248888277593808880e+02,8.800000000000000044e-01,1.000000000000000000e+00
3.533622405942399496e+02,2.358304598379122581e+02,9.050000000000000266e-01,1.000000000000000000e+00
3.525497802618948526e+02,2.212675987778548006e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.497636793893576623e+02,2.055967321573861000e+02,9.549999999999999600e-01,1.000000000000000000e+00
3.481621892101491653e+02,2.134646940460816893e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.445651480860138918e+02,2.146323349131333202e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.402813297386861677e+02,2.050794402294250460e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.404422076250619966e+02,1.994112394939074306e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.380520592012713905e+02,1.621242910698653930e+02,9.799999999999999822e-01,1.000000000000000000e+00
3.393477104116947771e+02,8.283693561787745807e+01,9.799999999999999822e-01,1.000000000000000000e+00
3.394949112474375283e+02,8.595770819080154013e+01,8.800000000000000044e-01,1.000000000000000000e+00
3.393040138062945061e+02,9.414107359059194380e+01,9.549999999999999600e-01,1.000000000000000000e+00
3.375788609963805129e+02,7.621625867322950398e+01,9.799999999999999822e-01,1.000000000000000000e+00
2.942678889600726961e+02,7.564336183918105405e+01,9.799999999999999822e-01,1.000000000000000000e+00
2.878273599231793014e+02,9.696964609643340793e+01,8.800000000000000044e-01,1.000000000000000000e+00
2.910678957733240395e+02,1.116369126766424813e+02,8.800000000000000044e-01,1.000000000000000000e+00
2.882248254323711762e+02,8.855555963604066960e+01,8.800000000000000044e-01,1.000000000000000000e+00
2.861475991307762570e+02,7.932194810944946539e+01,8.800000000000000044e-01,1.000000000000000000e+00
2.924041508358542387e+02,1.229375567326272574e+02,8.800000000000000044e-01,1.000000000000000000e+00
